suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
goal,scene_0025,directional,text_only,pi05,tokens,1,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0043,,,,,plane,,,64,89.0
goal,scene_0025,directional,text_only,pi05,tokens,2,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0026,,,,,plane,,,64,86.6
goal,scene_0026,both,text_only,pi05,tokens,0,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0041,,,,,plane,,,64,84.3
goal,scene_0026,both,text_only,pi05,tokens,1,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0119,,,,,plane,,,64,83.7
goal,scene_0026,both,text_only,pi05,tokens,2,False,,320,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0171,,,,,plane,,,64,84.3
goal,scene_0033,both,text_only,pi05,tokens,0,False,,320,False,False,,True,True,True,cream_cheese_1,True,akita_black_bowl_1,False,0.0072,,,,,plane,,,64,87.7
goal,scene_0033,both,text_only,pi05,tokens,1,False,,320,False,False,,True,True,True,cream_cheese_1,True,akita_black_bowl_1,False,0.0083,,,,,plane,,,64,87.9
goal,scene_0033,both,text_only,pi05,tokens,2,False,,320,False,False,,True,True,True,cream_cheese_1,True,akita_black_bowl_1,False,0.0007,,,,,plane,,,64,87.2
goal,scene_0034,both,text_only,pi05,tokens,0,False,,320,True,True,70,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0172,,,,,plane,,,64,84.4
goal,scene_0034,both,text_only,pi05,tokens,1,False,,320,True,True,69,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0197,,,,,plane,,,64,83.8
goal,scene_0034,both,text_only,pi05,tokens,2,False,,320,True,True,69,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0233,,,,,plane,,,64,84.3
spatial,scene_0002,control,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0433,,,,,plane,,,48,87.0
spatial,scene_0002,control,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.1721,,,,,plane,,,48,85.8
spatial,scene_0002,control,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0338,,,,,plane,,,48,85.9
spatial,scene_0003,control,text_only,pi05,tokens,0,False,,240,False,False,,True,False,False,,False,,False,0.0905,,,,,plane,,,48,86.5
spatial,scene_0003,control,text_only,pi05,tokens,1,False,,240,False,False,,True,False,False,,False,,False,0.1174,,,,,plane,,,48,85.5
spatial,scene_0003,control,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0543,,,,,plane,,,48,84.3
spatial,scene_0004,control,text_only,pi05,tokens,0,False,,240,True,True,94,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0099,,,,,plane,,,48,85.7
spatial,scene_0004,control,text_only,pi05,tokens,1,False,,240,True,True,88,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0175,,,,,plane,,,48,85.4
spatial,scene_0004,control,text_only,pi05,tokens,2,False,,240,True,True,100,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0165,,,,,plane,,,48,86.0
spatial,scene_0005,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0449,,,,,plane,,,48,85.6
spatial,scene_0005,referential,text_only,pi05,tokens,1,False,,240,True,True,99,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0167,,,,,plane,,,48,87.2
spatial,scene_0005,referential,text_only,pi05,tokens,2,False,,240,True,True,157,True,True,True,akita_black_bowl_2,True,plate_1,True,0.0144,,,,,plane,,,48,99.4
spatial,scene_0006,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0546,,,,,plane,,,48,86.2
spatial,scene_0006,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.2055,,,,,plane,,,48,86.9
spatial,scene_0006,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_2,False,plate_1,True,0.0111,,,,,plane,,,48,86.7
